Apple,A,1,4.99,2020/10/11
Agaric,S,1,13.99,2020/10/12
Apricot,A,1,6.99,2020/10/11
Arbutus,S,1,8.99,2020/10/12
Avocado,B,1,3.99,2020/10/12
Asparagus,S,0.5,6.99,2020/10/11
Artichoke,A,0.5,8.99,2020/10/12
Bread,C,1,0.99,2020/10/11
Bean,D,1,0.89,2020/10/11
Biscuit,D,2,0.79,2020/10/12
Butter,A,4,4.29,2020/10/12
Beer,S,0.5,3.99,2020/10/12
Biffin,S,5,2.99,2020/10/12
Bitter orange,F,1,1.29,2020/10/11
Bean sprout,A,1,3.29,2020/10/12
Brown sugar,S,2,2.59,2020/10/12
Brown rice,C,2,1.59,2020/10/11
Cake,S,1,14.99,2020/10/12
Coffee,A,1,12.99,2020/10/11
Carrot,B,2,2.69,2020/10/12
Cacao,A,0.5,5.69,2020/10/13
Corn,C,1,1.99,2020/10/13
Cucumber,D,1,2.29,2020/10/13
Dumpling,B,1,4.69,2020/10/11
Duck,A,1,12.99,2020/10/13
Date,A,0.5,9.89,2020/10/11
Egg,A,1,4.99,2020/10/13
Eggplant,S,1,5.99,2020/10/11
Fig,S,1,22.09,2020/10/13
Fish,A,1,13.49,2020/10/11
Grape,S,1,2.89,2020/10/13
Grallic,S,1,30.99,2020/10/13
Ginger,S,1,35.99,2020/10/13
Goji berry,S,1,48.99,2020/10/13
